timestamp,ax,ay,az,gx,gy,gz,label
41110,0.045532,-0.065552,1.015747,5.432128,-0.366211,-0.793457,junk
41121,0.039917,-0.076538,1.015747,8.178711,1.220703,-0.732422,junk
41132,0.041382,-0.086914,1.01062,8.605957,2.258301,-1.647949,junk
41143,0.041016,-0.098267,1.004517,7.019042,2.380371,-3.295898,junk
41155,0.035156,-0.107178,0.99939,0.671387,3.112793,-7.629394,junk
41166,0.032471,-0.110962,0.99939,-3.295898,5.371093,-9.277344,junk
41177,0.037109,-0.107666,1.004028,-7.141113,8.117676,-9.70459,junk
41188,0.045288,-0.097412,1.008423,-9.521484,9.765625,-8.605957,junk
41199,0.053589,-0.081543,1.007202,-9.460449,9.399414,-6.347656,junk
41211,0.054321,-0.082031,1.000977,-7.019042,7.507324,-3.662109,junk
41222,0.056152,-0.084839,0.997314,-3.295898,5.187988,-1.647949,junk
41233,0.060669,-0.087036,0.994873,0.366211,3.234863,-0.793457,junk
41244,0.068481,-0.086426,0.990479,2.807617,1.464844,-1.037598,junk
41255,0.076416,-0.085205,0.984131,1.220703,-1.281738,-2.258301,junk
41267,0.082031,-0.086548,0.977539,-1.831055,-1.525879,-2.807617,junk
41278,0.08667,-0.085815,0.9729,-5.126953,-0.793457,-3.234863,junk
41289,0.091919,-0.080811,0.97168,-7.202148,0.305176,-3.356933,junk
41300,0.098389,-0.075684,0.974487,-7.507324,1.037598,-2.929687,junk
41311,0.097412,-0.079346,0.976929,-6.774902,0.915527,-2.319336,junk
41323,0.091919,-0.083618,0.983276,-5.798339,0.061035,-1.953125,junk
41334,0.084473,-0.086914,0.991577,-4.821777,-1.037598,-1.89209,junk
41345,0.078979,-0.090088,0.998413,-4.150391,-2.197266,-1.89209,junk
41356,0.074463,-0.094604,1.005615,-5.187988,-4.882812,-2.563476,junk
41368,0.06897,-0.095093,1.011597,-6.469726,-5.065917,-2.685547,junk
41379,0.065552,-0.089478,1.016357,-6.896972,-3.723144,-2.197266,junk
41390,0.063232,-0.084229,1.02002,-6.16455,-0.976562,-1.159668,junk
41401,0.060181,-0.079834,1.026001,-4.821777,2.319336,0.12207,junk
41412,0.061646,-0.082031,1.028809,-4.272461,5.615234,0.915527,junk
41424,0.062256,-0.080566,1.028564,-5.310058,7.93457,0.854492,junk
41435,0.060669,-0.081055,1.022949,-8.117676,8.483887,-0.305176,junk
41446,0.059082,-0.081665,1.013794,-12.08496,7.507324,-2.319336,junk
41457,0.057617,-0.078369,1.008423,-19.226074,6.225585,-6.286621,junk
41468,0.056641,-0.071045,1.010254,-20.38574,7.751464,-6.469726,junk
41480,0.057617,-0.060791,1.013184,-18.676758,10.375976,-5.065917,junk
41491,0.059814,-0.049927,1.013916,-14.648437,13.305663,-2.746582,junk
41502,0.060791,-0.046021,1.010986,-10.253905,15.747069,-0.610352,infinity
41513,0.062378,-0.055542,1.007446,-7.263183,17.272949,0.427246,infinity
41525,0.066895,-0.066284,1.004639,-7.019042,17.700195,0.061035,infinity
41536,0.074585,-0.065796,1.002197,-9.82666,17.63916,-1.586914,infinity
41547,0.083008,-0.048462,0.999878,-14.160155,17.39502,-3.662109,infinity
41558,0.089722,-0.019653,0.998413,-16.479492,17.211914,-5.92041,infinity
41570,0.091797,0.005127,1.000732,-11.291503,19.042969,-5.493164,infinity
41581,0.089722,0.012939,1.004639,-3.90625,23.437498,-4.699707,infinity
41592,0.095215,-0.003662,1.009644,2.502441,30.09033,-4.089355,infinity
41603,0.102905,-0.012085,1.007568,6.286621,38.391113,-3.845215,infinity
41614,0.112549,-0.01001,1.002075,7.629394,46.936031,-3.967285,infinity
41626,0.123535,0.003296,0.996704,8.117676,54.565426,-4.333496,infinity
41637,0.137329,0.022827,0.992554,11.108397,61.218258,-4.760742,infinity
41648,0.154541,0.030151,0.996582,27.587889,74.645996,-5.432128,infinity
41659,0.171875,0.014038,1.001709,35.03418,81.787102,-5.310058,infinity
41671,0.18811,-0.003052,0.994995,40.954586,86.97509,-5.432128,infinity
41682,0.200684,-0.009644,0.9823,47.424313,89.599602,-6.286621,infinity
41693,0.22876,-0.020142,0.956909,55.480953,90.515129,-7.629394,infinity
41704,0.240845,-0.033569,0.960205,64.51416,91.491692,-9.399414,infinity
41716,0.254883,-0.040527,0.965088,74.09668,93.627922,-10.803222,infinity
