timestamp,ax,ay,az,gx,gy,gz
174931,0.167114,-1.037354,-0.301025,-263.061523,13.854980,40.832516
174942,0.170532,-1.022583,-0.264160,-270.385742,10.864257,42.175289
174954,0.171997,-1.004639,-0.222778,-272.521973,7.995605,42.907711
174965,0.187744,-0.951782,-0.122437,-269.042969,5.310058,42.907711
174976,0.201660,-0.927368,-0.067139,-260.681152,2.624511,42.114254
174988,0.210693,-0.904785,-0.017456,-249.389633,0.000000,40.161129
174999,0.217163,-0.892334,0.029907,-237.976059,-2.197266,36.560059
175010,0.224121,-0.888550,0.077759,-229.553207,-3.784179,31.555174
175022,0.229248,-0.896362,0.123657,-227.600082,-6.713867,21.667479
175033,0.232178,-0.920044,0.165405,-232.971176,-7.568359,20.690916
175044,0.233521,-0.935059,0.201050,-241.394028,-8.361816,23.864744
175056,0.229004,-0.889893,0.265869,-250.915512,-9.582520,29.663084
175067,0.231323,-0.861694,0.300293,-259.155273,-10.803222,34.790039
175078,0.236084,-0.829102,0.338379,-263.977051,-12.023925,36.682129
175090,0.241211,-0.798096,0.378296,-263.549805,-13.732909,35.400391
175101,0.245850,-0.781494,0.417480,-258.666992,-15.991210,32.836914
175112,0.245850,-0.774658,0.456421,-249.450668,-19.165039,29.785154
175124,0.242676,-0.764648,0.491821,-252.502426,-19.714355,29.235838
175135,0.241211,-0.743286,0.522949,-261.718750,-20.263670,29.541014
175147,0.247925,-0.663574,0.582520,-273.315430,-21.057127,30.700682
175158,0.252563,-0.618042,0.613647,-282.287598,-22.216795,31.982420
175169,0.253662,-0.565308,0.643799,-285.827637,-23.681639,32.531738
175181,0.252197,-0.507202,0.674072,-283.325195,-25.634764,31.677244
175192,0.251099,-0.460815,0.705200,-265.014648,-31.066893,26.123045
175203,0.248657,-0.429810,0.734985,-253.173813,-33.508301,22.888182
175215,0.242065,-0.397217,0.762695,-240.783676,-34.851074,20.507811
175226,0.227295,-0.306763,0.814209,-227.905258,-35.156250,18.737793
175238,0.227905,-0.257935,0.835449,-214.050278,-34.790039,16.723633
175249,0.227783,-0.222778,0.856079,-197.631821,-34.851074,14.221190
175260,0.221436,-0.217285,0.874146,-178.222641,-35.522461,11.779784
175272,0.210938,-0.236084,0.887817,-158.508301,-36.193848,9.704590
175283,0.198608,-0.262939,0.898193,-137.329102,-34.667969,7.995605
175294,0.188477,-0.278442,0.906250,-140.869141,-32.775879,9.094238
175306,0.183716,-0.260010,0.915649,-150.329590,-31.249998,11.169433
175317,0.180542,-0.153320,0.945190,-158.508301,-30.822752,13.671874
175329,0.176636,-0.115601,0.958862,-158.813477,-30.822752,15.869140
175340,0.172852,-0.093506,0.965698,-150.329590,-30.273436,17.150879
175351,0.171021,-0.064819,0.971436,-138.488770,-29.052732,17.333984
175363,0.171875,-0.031372,0.983032,-127.990715,-28.076170,16.723633
175374,0.172119,0.001099,0.998901,-107.360832,-28.381346,14.343261
175385,0.167114,0.019897,1.013428,-93.872063,-28.503416,12.756347
175397,0.158936,0.025269,1.023560,-80.627434,-27.404783,10.803222
175408,0.144653,0.048340,1.038696,-69.702148,-24.963377,8.972168
175419,0.141968,0.070190,1.044678,-60.485836,-21.179197,7.873535
175430,0.141846,0.092651,1.046265,-51.147457,-16.296387,7.751464
175442,0.144775,0.106079,1.046265,-40.832516,-11.108397,7.812500
175453,0.148804,0.109009,1.047485,-29.724119,-6.530761,7.080078
175464,0.152588,0.108032,1.048828,-8.789062,-0.610352,2.868652
175476,0.155518,0.109619,1.049072,0.305176,0.854492,0.488281
175487,0.156616,0.113281,1.047119,9.765625,1.403808,-1.342773
175498,0.158325,0.111816,1.033447,20.568846,1.342773,-2.929687
175509,0.158081,0.099854,1.024780,32.653809,1.098633,-4.394531
175521,0.155762,0.074951,1.017822,44.921871,1.037598,-5.859375
175532,0.150757,0.043701,1.013550,55.236813,1.403808,-7.202148
175543,0.145630,0.013306,1.011108,61.584469,2.441406,-8.483887
175554,0.142822,-0.010864,1.007324,63.232418,6.164550,-10.681151
175566,0.141968,-0.026733,1.001953,62.316891,8.300781,-11.352538
175577,0.142334,-0.032959,0.994995,62.866207,9.948730,-11.657714
175588,0.145874,-0.020508,0.987183,66.467285,10.437011,-12.207030
175600,0.158447,0.010864,0.971680,75.256348,9.277344,-13.122558
175611,0.164062,-0.004395,0.963867,89.965813,6.286621,-14.587401
175622,0.163574,-0.035278,0.956299,109.008781,2.075195,-16.540527
175633,0.154053,-0.078247,0.951172,129.028320,-2.197266,-18.493652
175645,0.138794,-0.135254,0.948608,147.155762,-5.432128,-19.714355
175656,0.127319,-0.186523,0.947266,167.846664,-6.286621,-20.324705
175668,0.122437,-0.217285,0.945190,170.715317,-5.187988,-21.301268
175679,0.126709,-0.218262,0.937378,173.889145,-4.821777,-22.888182
175690,0.150879,-0.187866,0.905762,183.044418,-6.408691,-24.841307
175702,0.156128,-0.210449,0.886841,200.683578,-9.399414,-26.672361
175713,0.151733,-0.264038,0.865479,223.876938,-12.023925,-28.320311
175725,0.140747,-0.336792,0.843628,245.422348,-13.122558,-29.968260
175736,0.131470,-0.405640,0.822144,265.563965,-12.756347,-31.738279
175747,0.127319,-0.453735,0.800537,267.456055,-13.427733,-31.982420
175759,0.123291,-0.495483,0.777710,269.775391,-14.587401,-32.104492
175770,0.109375,-0.581787,0.715332,273.620605,-15.441894,-32.409668
175781,0.101318,-0.612183,0.676758,278.320312,-15.930175,-33.447266
175793,0.097290,-0.632812,0.634644,284.179688,-16.662598,-34.912109
175804,0.094727,-0.656372,0.588623,292.907715,-18.066406,-36.010742
175816,0.089355,-0.701294,0.542114,305.664062,-20.080564,-36.315918
175827,0.078857,-0.765991,0.494995,332.458466,-22.888182,-33.752441
175838,0.069580,-0.817261,0.445068,339.477509,-23.864744,-31.982420
175850,0.066284,-0.840088,0.392822,343.749969,-25.634764,-30.151365
175861,0.058838,-0.896240,0.288574,348.388641,-27.832029,-27.893064
175873,0.041260,-0.955444,0.234619,354.186981,-28.625486,-25.085447
175884,0.025146,-1.012939,0.182495,357.727020,-26.428221,-21.728514
175895,0.025146,-1.035522,0.137085,354.003876,-21.911619,-18.005371
175907,0.041748,-1.018555,0.097534,342.285126,-17.761230,-14.526366
175918,0.062012,-0.983032,0.056396,315.246582,-18.493652,-11.169433
175929,0.073853,-0.952393,0.008789,309.570312,-22.338865,-11.596679
175941,0.070312,-0.945801,-0.042236,310.119629,-26.123045,-12.207030
175952,0.043457,-0.934570,-0.147461,314.636230,-28.442381,-13.000487
175963,0.042603,-0.921509,-0.209717,321.411102,-29.296873,-14.099120
175975,0.051758,-0.913208,-0.274170,328.247040,-29.602049,-14.648437
175986,0.053345,-0.925415,-0.334717,333.007782,-30.395506,-13.366698
175998,0.044922,-0.940552,-0.385254,330.810516,-31.677244,-8.850098
176009,0.034790,-0.943481,-0.426147,323.791473,-31.066893,-8.911133
176020,0.023682,-0.945557,-0.462769,311.218262,-28.991697,-9.643555
176032,0.014648,-0.948730,-0.528076,291.259766,-25.451658,-10.437011
176043,0.019287,-0.954346,-0.556396,264.038086,-21.240232,-10.559081
176054,0.028442,-0.936157,-0.583374,230.773911,-17.822266,-9.216309
176066,0.037354,-0.897339,-0.608276,195.739731,-16.784668,-6.469726
176077,0.037598,-0.867432,-0.628906,165.283188,-17.761230,-3.295898
176089,0.026978,-0.848511,-0.648926,123.352043,-17.578125,0.244141
176100,0.016479,-0.827026,-0.668213,108.032219,-14.953612,0.183105
176111,0.011841,-0.798950,-0.682861,95.153801,-10.986327,-0.732422
